DISCIPLINA,CODIGO,TURMA,SALA,DIA1,HORARIO1,DIA2,HORARIO2
TCC: MEDICAO E QUALIDADE DE SOFTWARE,DCC030,TJ2,2015,2a,14:55 - 16:35,4a,14:55 - 16:35
TCC: NANOTECNOLOGIA COMPUTACIONAL,DCC030,TK2,2015,3a,14:55 - 16:35,5a,14:55 - 16:35
TCC: PROGRAMACAO FUNCIONAL,DCC030,TL2,2011 - Lab. DCC,2a,17:00 - 18:40,4a,17:00 - 18:40
TCC: SOLUCAO DE PROBLEMAS COMPUTACIONAIS,DCC030,TM2,1010 LAB DCC,6a,09:25 - 12:50
TCC: VERIFICACAO AUTOMATICA,DCC030,TN2,2016,3a,09:25 - 11:05,5a,09:25 - 11:05
TCC: VISUALIZACAO DE DADOS,DCC030,TO2,2013,2a,11:10 - 12:50,4a,11:10 - 12:50
TCC: PROTOCOLOS CRIPTOGRAFICOS,DCC030,TQ2,2008,3a,17:00 - 18:40,5a,17:00 - 18:40
TCC: RECUPERACAO DA INFORMACAO - MAQUINAS DE BUSCA NA WEB,DCC030,TR2,2016,2a,09:25 - 11:05,4a,09:25 - 11:05
TCC: VIRTUALIZACAO E COMPUTACAO EM NUVEM,DCC030,TS2,2014,2a,11:10 - 12:50,4a,11:10 - 12:50
ANALISE NUMERICA,DCC033,TB,CAD1. AUD.2A,3a,09:25 - 11:05,5a,09:25 - 11:05
ANALISE NUMERICA,DCC033,TE,AUD. 4 FIS,3a,19:00 - 20:40,5a,20:55 - 22:35
ANALISE NUMERICA,DCC033,TM,AUD. 2,3a,13:00 - 14:40,5a,13:00 - 14:40
ANALISE NUMERICA,DCC033,TN,2054,3a,14:55 - 16:35,5a,14:55 - 16:35
CALCULO NUMERICO,DCC034,TA,2013,3a,07:30 - 09:10,5a,07:30 - 09:10
CALCULO NUMERICO,DCC034,TB,AUD. 1,3a,09:25 - 11:05,5a,09:25 - 11:05
CALCULO NUMERICO,DCC034,TD,2009,3a,11:10 - 12:50,5a,11:10 - 12:50
CALCULO NUMERICO,DCC034,TF,AUD. 4 FIS,3a,19:00 - 20:40,5a,20:55 - 22:35
CALCULO NUMERICO,DCC034,TM,AUD. 2,3a,13:00 - 14:40,5a,13:00 - 14:40
CALCULO NUMERICO,DCC034,TZ,2006,3a,17:00 - 18:40,5a,17:00 - 18:40
PESQUISA OPERACIONAL,DCC035,TB2,2054,3a,09:25 - 11:05,5a,09:25 - 11:05
PROGRAMACAO ORIENTADA A OBJETOS,DCC038,TN,1024,2a,14:55 - 16:35,4a,14:55 - 16:35
INTRODUCAO A ROBOTICA,DCC041,TB,1021,2a,09:25 - 11:05,4a,09:25 - 11:05
VISAO COMPUTACIONAL,DCC043,TN,2014,2a,14:55 - 16:35,4a,14:55 - 16:35
FUNDAMENTOS DE SISTEMAS DE INFORMACAO,DCC044,TW,2014,6a,19:00 - 20:40
TSI: ALGORITMOS PARA BIOINFORMATICA I,DCC049,T/T,2016,3a,11:10 - 12:50,5a,11:10 - 12:50
TSI: ANALISE E OTIMIZACAO DE CODIGO.,DCC049,TA,2015,2a,17:00 - 18:40,4a,17:00 - 18:40
TSI: APRENDIZADO DE MAQUINA.,DCC049,TB2,2013,3a,17:00 - 18:40,5a,17:00 - 18:40
TSI: ARQUITETURA DE SOFTWARE.,DCC049,TC,2016,3a,17:00 - 18:40,5a,17:00 - 18:40
TSI: BANCO DE DADOS AVANCADOS.,DCC049,TD,2016,2a,14:55 - 16:35,4a,14:55 - 16:35
TSI: BANCOS DE DADOS GEOGRAFICOS.,DCC049,TE,2014,3a,14:55 - 16:35,5a,14:55 - 16:35
TSI: FUNDAMENTOS ESTATISTICOS PARA CIENCIAS DOS DADOS,DCC049,TG,2009,3a,09:25 - 11:05,5a,09:25 - 11:05
TSI: INTERNET DAS COISAS.,DCC049,TH,2015,2a,09:25 - 11:05,4a,09:25 - 11:05
TSI: INTRODUCAO A COMPUTACAO VISUAL.,DCC049,TI,2014,3a,19:00 - 20:40,5a,19:00 - 20:40
TSI: MEDICAO E QUALIDADE DE SOFTWARE.,DCC049,TJ,2015,2a,14:55 - 16:35,4a,14:55 - 16:35
TSI: NANOTECNOLOGIA COMPUTACIONAL.,DCC049,TK,2015,3a,14:55 - 16:35,5a,14:55 - 16:35
TSI: PROGRAMACAO FUNCIONAL.,DCC049,TL,2011 - Lab. DCC,2a,17:00 - 18:40,4a,17:00 - 18:40
TSI: SOLUCAO DE PROBLEMAS COMPUTACIONAIS.,DCC049,TM,1010 LAB DCC,6a,09:25 - 12:50
TSI: VERIFICACAO AUTOMATICA.,DCC049,TN,2016,3a,09:25 - 11:05,5a,09:25 - 11:05
TSI: VISUALIZACAO DE DADOS,DCC049,TO,2013,2a,11:10 - 12:50,4a,11:10 - 12:50
TSI: PROTOCOLOS CRIPTOGRAFICOS.,DCC049,TQ,2008,3a,17:00 - 18:40,5a,17:00 - 18:40
TSI: RECUPERACAO DE INFORMACAO - MAQUINAS DE BUSCA NA WEB.,DCC049,TR,2016,2a,09:25 - 11:05,4a,09:25 - 11:05
TSI: VIRTUALIZACAO E COMPUTACAO EM NUVEM.,DCC049,TS,2014,2a,11:10 - 12:50,4a,11:10 - 12:50
TSI: DESENVOLVIMENTO DE JOGOS DIGITAIS.,DCC049,TU,2008,2a,11:10 - 12:50,4a,11:10 - 12:50
TSI: MODELAGEM DE PROCESSOS DE NEGOCIO.,DCC049,TV,2014,3a,17:00 - 18:40,5a,17:00 - 18:40
TSI: INTERACAO HUMANO-COMPUTADOR,DCC049,TW,2014,2a,17:00 - 18:40,4a,17:00 - 18:40
TSI: PROCESSAMENTO DIGITAL DE SOM E VIDEO.,DCC049,TX,2015,3a,17:00 - 18:40,5a,17:00 - 18:40
TSI: TEORIA DOS GRAFOS.,DCC049,TZ,1022,2a,09:25 - 11:05,4a,09:25 - 11:05
TSI: TEORIA DOS GRAFOS,DCC049,TZ,1022,2a,09:25 - 11:05,4a,09:25 - 11:05
INTRODUCAO A CIENCIA DA COMPUTACAO,DCC050,TA,2013,6a,07:30 - 09:10
PROGRAMACAO MODULAR,DCC052,TB,2013,2a,09:25 - 11:05,4a,09:25 - 11:05
PROGRAMACAO MODULAR,DCC052,TZ,2013,2a,19:00 - 20:40,4a,19:00 - 20:40
COMPILADORES I,DCC053,TM,2013,2a,13:00 - 14:40,4a,13:00 - 14:40
PROJETOS E CONCEITOS DE SISTEMAS PARALELOS E DISTRIBUIDOS,DCC058,TN2,2013,2a,14:55 - 16:35,4a,14:55 - 16:35
ENGENHARIA DE SOFTWARE II,DCC072,TW,2060,3a,19:00 - 20:40,5a,19:00 - 20:40
MATEMATICA DISCRETA,DCC111,TA/TA1/T,A21015,2a,07:30 - 09:10,4a,07:30 - 09:10
MATEMATICA DISCRETA,DCC111,TZ/TZ1/,AUD. 1,3a,17:00 - 18:40,5a,17:00 - 18:40
INTRODUCAO AOS SISTEMAS LOGICOS,DCC114,TN2,2008,2a,16:40 - 18:20,4a,16:40 - 18:20
INTRODUCAO AOS SISTEMAS LOGICOS,DCC114,TZ,1024,2a,17:00 - 18:40,4a,17:00 - 18:40
FUNDAMENTOS DA TEORIA DA COMPUTACAO,DCC129,TN,1024,3a,16:40 - 18:20,5a,16:40 - 18:20
FUNDAMENTOS DA TEORIA DA COMPUTACAO,DCC129,TW,2013,3a,19:00 - 20:40,5a,19:00 - 20:40
ALGORITMOS PARA BIOINFORMATICA I,DCC186,TD2,2016,3a,11:10 - 12:50,5a,11:10 - 12:50
DESENVOLVIMENTO DE JOGOS DIGITAIS,DCC192,TD2,2008,2a,11:10 - 12:50,4a,11:10 - 12:50
INTERACAO HUMANO-COMPUTADOR,DCC194,TZ,2014,2a,17:00 - 18:40,4a,17:00 - 18:40
MODELAGEM DE PROCESSOS DE NEGOCIO,DCC196,TW1,2014,3a,17:00 - 18:40,5a,17:00 - 18:40
PROCESSAMENTO DIGITAL DE SOM E VIDEO,DCC197,TZ,2015,3a,17:00 - 18:40,5a,17:00 - 18:40
TEORIA DOS GRAFOS,DCC199,TB2,1022,2a,09:25 - 11:05,4a,09:25 - 11:05
ENGENHARIA DE SOFTWARE,DCC603,TA,2014,3a,07:30 - 09:10,5a,07:30 - 09:10
ENGENHARIA DE SOFTWARE,DCC603,TW,2015,2a,19:00 - 20:40,4a,19:00 - 20:40
SISTEMAS OPERACIONAIS,DCC605,TD,2014,3a,11:10 - 12:50,5a,11:10 - 12:50
SISTEMAS OPERACIONAIS,DCC605,TZ,2010,2a,17:00 - 18:40,4a,17:00 - 18:40
COMPUTADORES E SOCIEDADE,DCC606,TN,2013,3a,14:55 - 16:35,5a,14:55 - 16:35
COMPUTADORES E SOCIEDADE,DCC606,TW,2016,3a,19:00 - 20:40,5a,19:00 - 20:40
